accession	reads
GCF_000001405.40	80337
GCF_012273215.1	68105
GCF_008330925.1	52659
GCF_002966695.1	35728
GCF_029011355.1	24065
GCF_009867035.2	20283
GCF_000722765.2	16121
GCF_030177875.1	14034
GCF_008253725.1	12255
GCF_001548235.1	11846
GCF_002094955.1	11430
GCF_002763715.1	7423
GCF_032163505.1	7323
GCF_037889265.1	6653
GCF_037076355.1	6422
GCF_001262035.1	5245
GCF_002082765.1	5200
GCF_013393365.1	5121
GCF_020735905.1	4969
GCF_005696695.1	4733
GCF_022404755.1	4261
GCF_016549395.1	4149
GCF_004104465.2	4025
GCF_900477945.1	3692
GCF_026057735.1	3524
GCF_018406505.1	3489
GCF_003351565.1	3384
GCF_002849795.1	3255
GCF_000221985.1	3251
GCF_027474965.1	2723
GCF_030644365.1	2562
GCF_002356055.1	2385
GCF_038424135.1	2316
GCF_034134805.1	2309
GCF_024346585.1	2303
GCF_900637515.1	2165
GCF_003627155.1	1696
GCF_037967965.1	1669
GCF_918429265.1	1665
GCF_943181435.1	1606
GCF_009731465.1	1584
GCF_008727815.1	1566
GCF_020736165.1	1556
GCF_009730295.1	1476
GCF_032340315.1	1437
GCF_001298465.1	1426
GCF_020097435.1	1324
GCF_030644385.1	1322
GCF_037911955.1	1319
GCF_001553685.1	1310
GCF_019931005.1	1295
GCF_002763695.1	1234
GCF_018128125.1	1231
GCF_007990545.2	1222
GCF_034137685.1	1199
GCF_002005185.1	1174
GCF_024205685.1	1085
GCF_011612705.1	1085
GCF_900475315.1	886
GCF_008330025.1	858
GCF_946902905.1	848
GCF_013394695.1	838
GCF_003812445.1	836
GCF_940796315.1	738
GCF_002243405.1	735
GCF_016127875.1	706
GCF_900636505.1	706
GCF_019930845.1	672
GCF_020736205.1	663
GCF_022494435.1	648
GCF_024181625.1	645
GCF_011801285.1	634
GCF_900636445.1	625
GCF_021222645.1	619
GCF_002073815.2	586
GCF_037911825.1	566
GCF_003390995.1	565
GCF_037966635.1	565
GCF_021497965.1	561
GCF_030008055.1	545
GCF_017753665.1	539
GCF_018127725.1	530
GCF_036323475.1	530
GCF_002998925.1	528
GCF_018127845.1	527
GCF_038630745.1	498
GCF_037911965.1	488
GCF_024181205.1	481
GCF_900475505.1	431
GCF_019930905.1	425
GCF_005221285.1	397
GCF_000783815.2	395
GCF_026810185.1	389
GCF_018127745.1	386
GCF_002998595.1	340
GCF_035666155.1	336
GCF_001444445.1	332
GCF_013394715.1	306
GCF_020735385.1	288
GCF_013267835.1	283
GCF_017161265.1	274
GCF_900120245.1	273
GCF_001189555.1	271
GCF_000479315.1	270
GCF_946902045.1	266
GCF_001274535.1	255
GCF_019552345.1	252
GCF_002355895.1	243
GCF_027945475.1	223
GCF_013267735.1	222
GCF_001587175.1	221
GCF_016887735.2	215
GCF_900478185.1	214
GCF_003351545.1	202
