accession	reads
GCF_004104465.2	93174
GCF_000722765.2	77486
GCF_016549395.1	47590
GCF_001548235.1	40074
GCF_027945475.1	26599
GCF_008253725.1	26372
GCF_002005185.1	23950
GCF_013394715.1	22821
GCF_001298465.1	22302
GCF_026810185.1	20320
GCF_000001405.40	17639
GCF_012273215.1	13488
GCF_024346585.1	11695
GCF_037911965.1	11572
GCF_019334725.1	10138
GCF_900475505.1	9599
GCF_020735905.1	9365
GCF_002763695.1	9251
GCF_016127855.1	8455
GCF_017798005.1	8300
GCF_005696695.1	7994
GCF_024205685.1	7365
GCF_011612265.2	7363
GCF_003627155.1	6819
GCF_013393365.1	6717
GCF_032163505.1	6588
GCF_002302415.1	6480
GCF_016694895.1	5713
GCF_013267735.1	5414
GCF_026057735.1	4734
GCF_009731465.1	4693
GCF_037076355.1	4604
GCF_019931005.1	4455
GCF_002094955.1	4121
GCF_002302595.1	3951
GCF_020097435.1	3938
GCF_000221985.1	3802
GCF_037963785.1	3712
GCF_001553685.1	3676
GCF_001683375.1	3658
GCF_900637555.1	3485
GCF_900636505.1	3470
GCF_032340315.1	3415
GCF_018406505.1	3406
GCF_002849795.1	3231
GCF_900477945.1	3207
GCF_018128125.1	3119
GCF_946902905.1	2816
GCF_013394695.1	2798
GCF_002966695.1	2785
GCF_900478185.1	2686
GCF_037911955.1	2655
GCF_002209445.1	2595
GCF_017753665.1	2548
GCF_002302615.1	2386
GCF_940796315.1	2383
GCF_009730375.1	2381
GCF_019334745.1	2341
GCF_002082765.1	2276
GCF_021497965.1	2258
GCF_030008055.1	2218
GCF_900637515.1	2161
GCF_007990545.2	2072
GCF_009730295.1	1914
GCF_030644185.1	1878
GCF_029691405.1	1877
GCF_024759225.1	1620
GCF_018128305.1	1576
GCF_018127845.1	1531
GCF_920939465.1	1498
GCF_003390995.1	1349
GCF_002355895.1	1333
GCF_001587175.1	1305
GCF_001262035.1	1302
GCF_001274535.1	1270
GCF_016127115.1	1230
GCF_002234575.2	1225
GCF_006228325.1	1202
GCF_014054985.1	1187
GCF_003019755.1	1174
GCF_020736165.1	1154
GCF_018128245.1	1120
GCF_034134805.1	1097
GCF_008728395.1	1096
GCF_008727815.1	1028
GCF_029011355.1	991
GCF_007990635.1	968
GCF_030644365.1	942
GCF_019930845.1	918
GCF_013267835.1	886
GCF_900637975.1	875
GCF_000479315.1	870
GCF_018127745.1	848
GCF_037889265.1	829
GCF_002998595.1	828
GCF_034137685.1	814
GCF_024760065.1	757
GCF_030253495.1	750
GCF_037911825.1	742
GCF_019552345.1	729
GCF_900636445.1	721
GCF_021222645.1	720
GCF_002763715.1	641
GCF_001190745.1	599
GCF_008330025.1	596
GCF_002356055.1	584
GCF_002999135.1	565
GCF_012273195.1	557
GCF_003589745.1	549
GCF_900699785.1	548
GCF_032387735.1	545
GCF_009867035.2	536
GCF_001278845.1	535
GCF_003351545.1	533
GCF_019334785.1	473
GCF_013267415.1	467
GCF_011801285.1	463
GCF_946902045.1	450
GCF_002998925.1	444
GCF_018127725.1	437
GCF_003627135.1	432
GCF_019551945.1	426
GCF_008330925.1	421
GCF_003812445.1	419
GCF_007990365.1	412
GCF_900120245.1	397
GCF_016887735.2	389
GCF_037967965.1	376
GCF_032342915.1	375
GCF_018128205.1	360
GCF_036323475.1	352
GCF_007990505.1	342
GCF_900637655.1	340
GCF_030644385.1	329
GCF_022846055.1	314
GCF_007990525.1	313
GCF_902388275.1	311
GCF_002073815.2	310
GCF_026015965.1	296
GCF_032452855.1	291
GCF_963360645.1	289
GCF_018127765.1	286
GCF_022749515.1	285
GCF_014055025.1	284
GCF_014596425.2	281
GCF_001746855.1	279
GCF_025149285.1	275
GCF_034270385.1	267
GCF_001189555.1	263
GCF_003033925.1	261
GCF_004115325.2	257
GCF_900186995.1	248
GCF_016127355.1	238
GCF_005221285.1	231
GCF_016696765.1	225
GCF_030644325.1	217
GCF_016127595.1	216
GCF_005121165.3	213
GCF_001278825.1	210
GCF_004124015.1	204
GCF_000723465.1	203
GCF_001554015.1	201
