accession	reads
GCF_009933525.1	714052
GCF_032451715.1	62217
GCF_008728395.1	50390
GCF_000001405.40	46925
GCF_022404755.1	20804
GCF_018289315.1	20690
GCF_963360645.1	15688
GCF_024759225.1	14134
GCF_004104465.2	12653
GCF_000722765.2	10794
GCF_902388275.1	8346
GCF_918429265.1	6851
GCF_018408575.1	5811
GCF_013874375.1	5510
GCF_963360665.1	4895
GCF_003956025.1	4434
GCF_022453685.1	4382
GCF_022845675.1	4207
GCF_018289135.1	3946
GCF_014337175.1	3672
GCF_025914295.1	3669
GCF_004328515.1	3534
GCF_020091485.1	3514
GCF_020550085.1	3500
GCF_900477945.1	3191
GCF_023008285.1	3189
GCF_028607025.1	3172
GCF_016549395.1	2861
GCF_002849915.1	2780
GCF_008253725.1	2756
GCF_024760065.1	2620
GCF_900187175.1	2609
GCF_023347235.1	2484
GCF_016117815.1	2473
GCF_023347355.1	2408
GCF_019973735.1	2395
GCF_011612265.2	2247
GCF_020735745.1	2228
GCF_014163495.1	2133
GCF_008369705.1	2086
GCF_013009555.1	2027
GCF_023347295.1	1953
GCF_003574015.1	1895
GCF_002966695.1	1877
GCF_023347275.1	1793
GCF_012273215.1	1790
GCF_020735385.1	1500
GCF_006542685.1	1374
GCF_005121165.3	1218
GCF_027945475.1	1209
GCF_003627155.1	1116
GCF_030644185.1	1091
GCF_022453915.1	1071
GCF_019249725.2	1058
GCF_024346585.1	1056
GCF_002005185.1	1044
GCF_020735905.1	1007
GCF_027923645.1	982
GCF_015679285.1	952
GCF_002734145.1	886
GCF_008727735.1	882
GCF_023523445.1	855
GCF_900637305.1	846
GCF_025151715.1	811
GCF_002998595.1	743
GCF_032878895.1	734
GCF_025147085.1	694
GCF_016888945.1	668
GCF_033096525.1	651
GCF_034479775.1	613
GCF_016755695.1	591
GCF_037076355.1	578
GCF_002849795.1	571
GCF_014055025.1	548
GCF_900475505.1	546
GCF_003856815.1	544
GCF_900683755.1	533
GCF_006542665.1	527
GCF_009731465.1	524
GCF_016724805.1	516
GCF_001190745.1	505
GCF_000221985.1	488
GCF_008831345.1	482
GCF_014334015.1	473
GCF_928721695.1	467
GCF_036815185.2	467
GCF_009362935.1	464
GCF_905186165.1	459
GCF_016904155.1	456
GCF_005696695.1	443
GCF_025914115.1	442
GCF_003609995.1	438
GCF_023347255.1	399
GCF_020736165.1	391
GCF_900637655.1	388
GCF_023347335.1	384
GCF_013394715.1	381
GCF_028743455.1	376
GCF_007990545.2	376
GCF_025150745.1	370
GCF_023008345.1	366
GCF_022846055.1	352
GCF_001298465.1	347
GCF_018289295.1	337
GCF_013393365.1	324
GCF_032452855.1	322
GCF_016127855.1	319
GCF_001746855.1	313
GCF_018408705.1	311
GCF_016694895.1	305
GCF_023347315.1	297
GCF_023347535.1	295
GCF_002082765.1	294
GCF_023008305.1	289
GCF_003390995.1	276
GCF_025150245.1	273
GCF_037911965.1	271
GCF_963677685.1	269
GCF_020735725.1	266
GCF_002094955.1	264
GCF_002763715.1	259
GCF_026810185.1	255
GCF_032878955.1	254
GCF_032163505.1	247
GCF_004154955.1	237
GCF_018127745.1	232
GCF_023744375.2	228
GCF_009193295.2	228
GCF_020091345.1	219
GCF_001548235.1	219
GCF_000783815.2	216
GCF_001278845.1	203
GCF_018326305.1	202
GCF_015097455.1	201
